batter_name,batter,bat_team,opposition,venue,innings,batter_avg,batter_rpm,batter_sr,batter_bpm,batter_avg_last5,batter_sr_last5,batter_rpm_last5,batter_bpm_last5,bat_team_avg,batter_avg_opp,batter_sr_opp,batter_rpm_opp,batter_bpm_opp,bat_team_avg_opp,all_team_avg_opp,batter_avg_inn,batter_sr_inn,batter_rpm_inn,batter_bpm_inn,bat_team_avg_inn,all_team_avg_inn,batter_avg_ven,batter_sr_ven,batter_rpm_ven,batter_bpm_ven,bat_team_avg_ven,all_team_avg_ven
Azmatullah Omarzai,80247,Afghanistan,Bangladesh,Dubai International Cricket Stadium,1,51.0714,27.5,96.8835,3.0769,107.3333,104.886,48.2,5.4,201.4329,22.3333,71.2766,13.4,1,197.2667,208.9087,41.1111,88.0952,30.8333,3,216.9882,219.1707,51.0714,96.8835,27.5,3.0769,200.5,387.6491
Azmatullah Omarzai,80247,Afghanistan,Bangladesh,Dubai International Cricket Stadium,2,51.0714,27.5,96.8835,3.0769,107.3333,104.886,48.2,5.4,201.4329,22.3333,71.2766,13.4,1,197.2667,208.9087,85.5,109.6154,26.3077,3.3846,185.2308,187.3397,51.0714,96.8835,27.5,3.0769,200.5,387.6491
Azmatullah Omarzai,80247,Afghanistan,Bangladesh,National Stadium,1,51.0714,27.5,96.8835,3.0769,107.3333,104.886,48.2,5.4,201.4329,22.3333,71.2766,13.4,1,197.2667,208.9087,41.1111,88.0952,30.8333,3,216.9882,219.1707,51.0714,96.8835,27.5,3.0769,208,424.8923
Azmatullah Omarzai,80247,Afghanistan,Bangladesh,National Stadium,2,51.0714,27.5,96.8835,3.0769,107.3333,104.886,48.2,5.4,201.4329,22.3333,71.2766,13.4,1,197.2667,208.9087,85.5,109.6154,26.3077,3.3846,185.2308,187.3397,51.0714,96.8835,27.5,3.0769,208,424.8923
Azmatullah Omarzai,80247,Afghanistan,Bangladesh,Gaddafi Stadium,1,51.0714,27.5,96.8835,3.0769,107.3333,104.886,48.2,5.4,201.4329,22.3333,71.2766,13.4,1,197.2667,208.9087,41.1111,88.0952,30.8333,3,216.9882,219.1707,51.0714,96.8835,27.5,3.0769,225,440.4412
Azmatullah Omarzai,80247,Afghanistan,Bangladesh,Gaddafi Stadium,2,51.0714,27.5,96.8835,3.0769,107.3333,104.886,48.2,5.4,201.4329,22.3333,71.2766,13.4,1,197.2667,208.9087,85.5,109.6154,26.3077,3.3846,185.2308,187.3397,51.0714,96.8835,27.5,3.0769,225,440.4412
Azmatullah Omarzai,80247,Afghanistan,Bangladesh,Rawalpindi Cricket Stadium,1,51.0714,27.5,96.8835,3.0769,107.3333,104.886,48.2,5.4,201.4329,22.3333,71.2766,13.4,1,197.2667,208.9087,41.1111,88.0952,30.8333,3,216.9882,219.1707,51.0714,96.8835,27.5,3.0769,201.4329,416.6
Azmatullah Omarzai,80247,Afghanistan,Bangladesh,Rawalpindi Cricket Stadium,2,51.0714,27.5,96.8835,3.0769,107.3333,104.886,48.2,5.4,201.4329,22.3333,71.2766,13.4,1,197.2667,208.9087,85.5,109.6154,26.3077,3.3846,185.2308,187.3397,51.0714,96.8835,27.5,3.0769,201.4329,416.6
Azmatullah Omarzai,80247,Afghanistan,England,Dubai International Cricket Stadium,1,51.0714,27.5,96.8835,3.0769,107.3333,104.886,48.2,5.4,201.4329,2,20,2,0,168.5,208.2974,41.1111,88.0952,30.8333,3,216.9882,219.1707,51.0714,96.8835,27.5,3.0769,200.5,387.6491
Azmatullah Omarzai,80247,Afghanistan,England,Dubai International Cricket Stadium,2,51.0714,27.5,96.8835,3.0769,107.3333,104.886,48.2,5.4,201.4329,2,20,2,0,168.5,208.2974,85.5,109.6154,26.3077,3.3846,185.2308,187.3397,51.0714,96.8835,27.5,3.0769,200.5,387.6491
