match_id,innings,batting_team,batsman,runs,balls,fours,sixes,strikeRate,isOut,wicketType,fielders,bowler
1375847,2,Australia,A Athanaze,5,11,1,0,45.45,Yes,caught,,HR Walsh
1375847,2,Australia,JP Greaves,1,5,0,0,20.00,Yes,bowled,,HR Walsh
1375847,2,Australia,KU Carty,88,109,6,2,80.73,No,,,HR Walsh
1375847,2,Australia,SD Hope,12,17,1,0,70.59,Yes,caught,,HR Walsh
1375847,2,Australia,KAR Hodge,11,18,1,0,61.11,Yes,caught,,HR Walsh
1375847,2,Australia,RL Chase,59,67,7,0,88.06,Yes,bowled,,HR Walsh
1375847,2,Australia,HR Walsh,20,37,0,0,54.05,Yes,caught,,HR Walsh
1375847,2,Australia,R Shepherd,0,1,0,0,0.00,Yes,lbw,,HR Walsh
1375847,2,Australia,MW Forde,19,22,1,1,86.36,Yes,caught,,HR Walsh
1375847,2,Australia,G Motie,3,6,0,0,50.00,Yes,caught,,HR Walsh
1375847,2,Australia,O Thomas,2,5,0,0,40.00,No,,,HR Walsh
1375847,2,Australia,TM Head,4,5,1,0,80.00,Yes,caught,,HR Walsh
1375847,2,Australia,JP Inglis,65,44,10,1,147.73,Yes,caught,,HR Walsh
1375847,2,Australia,C Green,77,105,4,2,73.33,No,,,HR Walsh
1375847,2,Australia,SPD Smith,79,82,8,0,96.34,No,,,HR Walsh
1375847,2,Australia,West Indies,0,0,0,0,0.00,DNB,,,
1375847,2,Australia,Australia,0,0,0,0,0.00,DNB,,,
1375848,2,West Indies,J Fraser-McGurk,10,5,1,1,200.00,Yes,caught,,A Zampa
1375848,2,West Indies,JP Inglis,9,13,1,0,69.23,Yes,caught,,A Zampa
1375848,2,West Indies,C Green,33,43,5,1,76.74,Yes,caught,,A Zampa
1375848,2,West Indies,SPD Smith,5,11,1,0,45.45,Yes,bowled,,A Zampa
1375848,2,West Indies,M Labuschagne,26,33,3,1,78.79,Yes,caught,,A Zampa
1375848,2,West Indies,MW Short,41,55,2,1,74.55,Yes,caught and bowled,,A Zampa
1375848,2,West Indies,AM Hardie,26,36,3,0,72.22,Yes,caught,,A Zampa
1375848,2,West Indies,SA Abbott,69,63,1,4,109.52,Yes,bowled,,A Zampa
1375848,2,West Indies,W Sutherland,18,33,0,0,54.55,Yes,caught,,A Zampa
1375848,2,West Indies,A Zampa,8,12,0,0,66.67,No,,,A Zampa
1375848,2,West Indies,JR Hazlewood,4,4,0,0,100.00,No,,,A Zampa
1375848,2,West Indies,A Athanaze,11,14,2,0,78.57,Yes,caught,,A Zampa
1375848,2,West Indies,JP Greaves,8,10,1,0,80.00,Yes,caught,,A Zampa
1375848,2,West Indies,KY Ottley,8,14,1,0,57.14,Yes,caught,,A Zampa
1375848,2,West Indies,SD Hope,29,65,0,1,44.62,Yes,bowled,,A Zampa
1375848,2,West Indies,KU Carty,40,52,2,1,76.92,Yes,caught,,A Zampa
1375848,2,West Indies,RL Chase,25,41,2,0,60.98,Yes,caught,,A Zampa
1375848,2,West Indies,R Shepherd,6,13,0,0,46.15,Yes,caught,,A Zampa
1375848,2,West Indies,MW Forde,7,9,1,0,77.78,Yes,lbw,,A Zampa
1375848,2,West Indies,AS Joseph,19,15,2,1,126.67,Yes,caught,,A Zampa
1375848,2,West Indies,G Motie,7,22,1,0,31.82,Yes,lbw,,A Zampa
1375848,2,West Indies,O Thomas,7,8,1,0,87.50,No,,,A Zampa
1375848,2,West Indies,West Indies,0,0,0,0,0.00,DNB,,,
1375848,2,West Indies,Australia,0,0,0,0,0.00,DNB,,,
1375849,2,Australia,A Athanaze,32,64,2,0,50.00,Yes,caught,,O Thomas
1375849,2,Australia,KY Ottley,8,9,2,0,88.89,Yes,lbw,,O Thomas
1375849,2,Australia,KU Carty,10,22,0,0,45.45,Yes,caught,,O Thomas
1375849,2,Australia,SD Hope,4,5,1,0,80.00,Yes,lbw,,O Thomas
1375849,2,Australia,TJ Bishop,0,6,0,0,0.00,Yes,bowled,,O Thomas
1375849,2,Australia,RL Chase,12,26,0,0,46.15,Yes,caught,,O Thomas
1375849,2,Australia,R Shepherd,1,3,0,0,33.33,Yes,caught,,O Thomas
1375849,2,Australia,MW Forde,0,2,0,0,0.00,Yes,run out,,O Thomas
1375849,2,Australia,AS Joseph,6,9,0,0,66.67,Yes,caught,,O Thomas
1375849,2,Australia,G Motie,0,5,0,0,0.00,Yes,lbw,,O Thomas
1375849,2,Australia,O Thomas,0,2,0,0,0.00,No,,,O Thomas
1375849,2,Australia,J Fraser-McGurk,41,18,5,3,227.78,Yes,caught,,O Thomas
1375849,2,Australia,JP Inglis,35,16,4,1,218.75,No,,,O Thomas
1375849,2,Australia,AM Hardie,2,6,0,0,33.33,Yes,caught,,O Thomas
1375849,2,Australia,SPD Smith,6,4,1,0,150.00,No,,,O Thomas
1375849,2,Australia,West Indies,0,0,0,0,0.00,DNB,,,
1375849,2,Australia,Australia,0,0,0,0,0.00,DNB,,,
1385700,2,Australia,PD Salt,17,24,2,0,70.83,Yes,bowled,,WG Jacks
1385700,2,Australia,BM Duckett,95,92,11,0,103.26,Yes,caught and bowled,,WG Jacks
1385700,2,Australia,WG Jacks,62,60,5,2,103.33,Yes,caught,,WG Jacks
1385700,2,Australia,HC Brook,39,31,2,3,125.81,Yes,caught and bowled,,WG Jacks
1385700,2,Australia,JL Smith,23,20,2,1,115.00,Yes,caught,,WG Jacks
1385700,2,Australia,LS Livingstone,13,17,1,0,76.47,Yes,caught,,WG Jacks
1385700,2,Australia,JG Bethell,35,35,3,1,100.00,Yes,caught,,WG Jacks
1385700,2,Australia,BA Carse,2,9,0,0,22.22,Yes,caught,,WG Jacks
1385700,2,Australia,JC Archer,4,8,1,0,50.00,Yes,caught,,WG Jacks
1385700,2,Australia,MJ Potts,11,10,0,1,110.00,No,,,WG Jacks
1385700,2,Australia,AU Rashid,0,1,0,0,0.00,Yes,caught,,WG Jacks
1385700,2,Australia,MR Marsh,10,16,2,0,62.50,Yes,caught,,WG Jacks
1385700,2,Australia,TM Head,154,131,20,5,117.56,No,,,WG Jacks
1385700,2,Australia,SPD Smith,32,28,0,3,114.29,Yes,caught and bowled,,WG Jacks
1385700,2,Australia,C Green,32,33,5,0,96.97,Yes,bowled,,WG Jacks
