match_id,innings,batting_team,batsman,runs,balls,fours,sixes,strikeRate,isOut,wicketType,fielders,bowler
1375847,1,West Indies,A Athanaze,5,11,1,0,45.45,Yes,caught,,XC Bartlett
1375847,1,West Indies,JP Greaves,1,5,0,0,20.00,Yes,bowled,,XC Bartlett
1375847,1,West Indies,KU Carty,88,108,6,2,81.48,No,,,XC Bartlett
1375847,1,West Indies,SD Hope,12,17,1,0,70.59,Yes,caught,,XC Bartlett
1375847,1,West Indies,KAR Hodge,11,18,1,0,61.11,Yes,caught,,C Green
1375847,1,West Indies,RL Chase,59,67,7,0,88.06,Yes,bowled,,A Zampa
1375847,1,West Indies,HR Walsh,20,34,0,0,58.82,Yes,caught,,SA Abbott
1375847,1,West Indies,R Shepherd,0,1,0,0,0.00,Yes,lbw,,C Green
1375847,1,West Indies,MW Forde,19,21,1,1,90.48,Yes,caught,,SA Abbott
1375847,1,West Indies,G Motie,3,5,0,0,60.00,Yes,caught,,XC Bartlett
1375847,1,West Indies,O Thomas,2,5,0,0,40.00,No,,,XC Bartlett
1375847,2,Australia,TM Head,4,5,1,0,80.00,Yes,caught,,MW Forde
1375847,2,Australia,C Green,77,104,4,2,74.04,No,,,MW Forde
1375847,2,Australia,JP Inglis,65,43,10,1,151.16,Yes,caught,,G Motie
1375847,2,Australia,SPD Smith,79,79,8,0,100.00,No,,,G Motie
1375847,1,West Indies,XC Bartlett,0,0,0,0,0.00,DNB,,,
1375847,1,West Indies,LR Morris,0,0,0,0,0.00,DNB,,,
1375847,1,West Indies,MW Short,0,0,0,0,0.00,DNB,,,
1375847,1,West Indies,SA Abbott,0,0,0,0,0.00,DNB,,,
1375847,1,West Indies,SPD Smith,0,0,0,0,0.00,DNB,,,
1375847,1,West Indies,AM Hardie,0,0,0,0,0.00,DNB,,,
1375847,1,West Indies,M Labuschagne,0,0,0,0,0.00,DNB,,,
1375847,1,West Indies,C Green,0,0,0,0,0.00,DNB,,,
1375847,1,West Indies,JP Inglis,0,0,0,0,0.00,DNB,,,
1375847,1,West Indies,TM Head,0,0,0,0,0.00,DNB,,,
1375847,1,West Indies,A Zampa,0,0,0,0,0.00,DNB,,,
1375847,2,Australia,XC Bartlett,0,0,0,0,0.00,DNB,,,
1375847,2,Australia,KU Carty,0,0,0,0,0.00,DNB,,,
1375847,2,Australia,LR Morris,0,0,0,0,0.00,DNB,,,
1375847,2,Australia,A Athanaze,0,0,0,0,0.00,DNB,,,
1375847,2,Australia,MW Short,0,0,0,0,0.00,DNB,,,
1375847,2,Australia,G Motie,0,0,0,0,0.00,DNB,,,
1375847,2,Australia,SA Abbott,0,0,0,0,0.00,DNB,,,
1375847,2,Australia,SD Hope,0,0,0,0,0.00,DNB,,,
1375847,2,Australia,AM Hardie,0,0,0,0,0.00,DNB,,,
1375847,2,Australia,RL Chase,0,0,0,0,0.00,DNB,,,
1375847,2,Australia,HR Walsh,0,0,0,0,0.00,DNB,,,
1375847,2,Australia,M Labuschagne,0,0,0,0,0.00,DNB,,,
1375847,2,Australia,R Shepherd,0,0,0,0,0.00,DNB,,,
1375847,2,Australia,JP Greaves,0,0,0,0,0.00,DNB,,,
1375847,2,Australia,MW Forde,0,0,0,0,0.00,DNB,,,
1375847,2,Australia,KAR Hodge,0,0,0,0,0.00,DNB,,,
1375847,2,Australia,O Thomas,0,0,0,0,0.00,DNB,,,
1375847,2,Australia,A Zampa,0,0,0,0,0.00,DNB,,,
