Player Name,Team,Opponent,Venue,Toss Info,Innings
Tanzid Hasan,BAN,IND,"Dubai International Cricket Stadium, Dubai",Bangladesh won the toss and opt to bat,1
Soumya Sarkar,BAN,IND,"Dubai International Cricket Stadium, Dubai",Bangladesh won the toss and opt to bat,1
Najmul Hossain Shanto (c),BAN,IND,"Dubai International Cricket Stadium, Dubai",Bangladesh won the toss and opt to bat,1
Towhid Hridoy,BAN,IND,"Dubai International Cricket Stadium, Dubai",Bangladesh won the toss and opt to bat,1
Mushfiqur Rahim (wk),BAN,IND,"Dubai International Cricket Stadium, Dubai",Bangladesh won the toss and opt to bat,1
Mehidy Hasan Miraz,BAN,IND,"Dubai International Cricket Stadium, Dubai",Bangladesh won the toss and opt to bat,1
Jaker Ali,BAN,IND,"Dubai International Cricket Stadium, Dubai",Bangladesh won the toss and opt to bat,1
Rishad Hossain,BAN,IND,"Dubai International Cricket Stadium, Dubai",Bangladesh won the toss and opt to bat,1
Tanzim Hasan Sakib,BAN,IND,"Dubai International Cricket Stadium, Dubai",Bangladesh won the toss and opt to bat,1
Taskin Ahmed,BAN,IND,"Dubai International Cricket Stadium, Dubai",Bangladesh won the toss and opt to bat,1
Mustafizur Rahman,BAN,IND,"Dubai International Cricket Stadium, Dubai",Bangladesh won the toss and opt to bat,1
Rohit Sharma (c),IND,BAN,"Dubai International Cricket Stadium, Dubai",Bangladesh won the toss and opt to bat,2
Shubman Gill,IND,BAN,"Dubai International Cricket Stadium, Dubai",Bangladesh won the toss and opt to bat,2
Virat Kohli,IND,BAN,"Dubai International Cricket Stadium, Dubai",Bangladesh won the toss and opt to bat,2
Shreyas Iyer,IND,BAN,"Dubai International Cricket Stadium, Dubai",Bangladesh won the toss and opt to bat,2
KL Rahul (wk),IND,BAN,"Dubai International Cricket Stadium, Dubai",Bangladesh won the toss and opt to bat,2
Hardik Pandya,IND,BAN,"Dubai International Cricket Stadium, Dubai",Bangladesh won the toss and opt to bat,2
Axar Patel,IND,BAN,"Dubai International Cricket Stadium, Dubai",Bangladesh won the toss and opt to bat,2
Ravindra Jadeja,IND,BAN,"Dubai International Cricket Stadium, Dubai",Bangladesh won the toss and opt to bat,2
Harshit Rana,IND,BAN,"Dubai International Cricket Stadium, Dubai",Bangladesh won the toss and opt to bat,2
Mohammed Shami,IND,BAN,"Dubai International Cricket Stadium, Dubai",Bangladesh won the toss and opt to bat,2
Kuldeep Yadav,IND,BAN,"Dubai International Cricket Stadium, Dubai",Bangladesh won the toss and opt to bat,2
