batter_name,batter,bat_team,opposition,venue,innings,batter_avg,batter_rpm,batter_sr,batter_bpm,batter_avg_last5,batter_sr_last5,batter_rpm_last5,batter_bpm_last5,bat_team_avg,batter_avg_opp,batter_sr_opp,batter_rpm_opp,batter_bpm_opp,bat_team_avg_opp,all_team_avg_opp,batter_avg_inn,batter_sr_inn,batter_rpm_inn,batter_bpm_inn,bat_team_avg_inn,all_team_avg_inn,batter_avg_ven,batter_sr_ven,batter_rpm_ven,batter_bpm_ven,bat_team_avg_ven,all_team_avg_ven
Matthew Short,70472,Australia,England,Gaddafi Stadium,2,21.6667,17.7273,98.9848,2.5455,22.8,121.2766,10.6,1.4,216.2808,21.5,89.5833,14.3333,2.3333,217.478,208.2974,22.6667,158.1395,13.6,2.6,189.4068,187.3397,21.6667,98.9848,17.7273,2.5455,216.808,440.4412
Travis Head,66190,Australia,England,Gaddafi Stadium,2,44.3051,38.4412,103.7713,5.2206,89.5,116.6124,83.2,13.4,216.2808,57.5333,108.1454,50.7647,7.4118,217.478,208.2974,44.2222,98.9229,35.1176,5.0882,189.4068,187.3397,95.0,133.8028,95.0,13.0,216.808,440.4412
Steven Smith,50281,Australia,England,Gaddafi Stadium,2,43.6124,35.1625,87.3602,3.5125,45.0,75.6303,38.8,5.0,216.2808,36.4848,83.7857,31.6842,2.8158,217.478,208.2974,46.0196,85.0979,31.7162,3.0135,189.4068,187.3397,43.6124,87.3602,35.1625,3.5125,216.808,440.4412
Marnus Labuschagne,78285,Australia,England,Gaddafi Stadium,2,36.2857,30.1356,83.7889,2.6271,9.0,68.1818,32.0,3.6,216.2808,36.6667,88.7097,30.0,2.5455,217.478,208.2974,33.9048,73.5537,23.7333,1.9333,189.4068,187.3397,42.0,100.0,42.0,3.0,216.808,440.4412
Josh Inglis,72093,Australia,England,Gaddafi Stadium,2,24.4762,20.56,103.2129,2.72,46.0,112.1951,29.2,3.8,216.2808,5.5,47.8261,5.5,0.0,217.478,208.2974,23.9,100.8439,17.0714,2.2857,189.4068,187.3397,24.4762,103.2129,20.56,2.72,216.808,440.4412
Alex Carey,54314,Australia,England,Gaddafi Stadium,2,34.1034,26.0263,89.3406,2.6974,35.0,95.6284,37.8,4.6,216.2808,45.1818,98.2213,35.5,4.0,217.478,208.2974,38.5455,93.5982,27.3548,2.5806,189.4068,187.3397,4.5,64.2857,4.5,0.0,216.808,440.4412
Glenn Maxwell,54222,Australia,England,Gaddafi Stadium,2,34.6316,28.0,126.579,3.7589,11.0,98.2143,4.6,0.2,216.2808,37.4583,108.7062,33.2963,4.1481,217.478,208.2974,36.4186,121.7729,23.7273,3.197,189.4068,187.3397,34.6316,126.579,28.0,3.7589,216.808,440.4412
Ben Dwarshuis,72565,Australia,England,Gaddafi Stadium,2,12.2089,8.85,36.3636,0.7857,10.75,36.0656,7.5,0.7,216.2808,3.0,75.0,0.0,0.0,217.478,208.2974,0.0,100.0,0.0,0.0,189.4068,187.3397,12.2089,36.3636,8.85,0.7857,216.808,440.4412
Nathan Ellis,80817,Australia,England,Gaddafi Stadium,2,21.0,7.875,108.6207,0.875,19.6667,107.2727,11.4,1.4,216.2808,21.0,108.6207,7.875,0.875,217.478,208.2974,21.5,102.381,10.75,1.5,189.4068,187.3397,75.0,133.3333,2.0,0.0,216.808,440.4412
Adam Zampa,58435,Australia,England,Gaddafi Stadium,2,9.6176,3.0849,65.6627,0.283,10.5,65.625,7.6,0.8,216.2808,7.1429,67.5676,3.3333,0.3333,217.478,208.2974,6.75,60.6742,2.0377,0.1887,189.4068,187.3397,5.0,0.0,0.0,0.0,216.808,440.4412
Spencer Johnson,101328,Australia,England,Gaddafi Stadium,2,12.2089,6.0,100.0,1.0,12.0,100.0,6.0,1.0,216.2808,12.2089,100.0,6.0,1.0,217.478,208.2974,39.0,92.8571,0.0,0.0,189.4068,187.3397,12.2089,100.0,6.0,1.0,216.808,440.4412
Phil Salt,72363,England,Australia,Gaddafi Stadium,1,34.6296,33.3929,114.4431,5.1429,44.0,86.9565,44.0,5.4,210.1041,14.6667,84.6154,12.5714,2.0,210.0629,199.8028,38.4667,112.6953,38.4667,5.9333,229.3581,219.1707,34.6296,114.4431,33.3929,5.1429,183.8,440.4412
Ben Duckett,65672,England,Australia,Gaddafi Stadium,1,46.8824,44.2778,100.0,5.5,55.0,108.6957,55.0,7.8,210.1041,49.5,102.5907,49.5,6.0,210.0629,199.8028,62.3,101.3008,56.6364,7.0909,229.3581,219.1707,46.8824,100.0,44.2778,5.5,183.8,440.4412
Jamie Smith,97293,England,Australia,Gaddafi Stadium,1,25.4,21.1667,92.029,2.3333,25.4,92.029,23.6,2.8,210.1041,29.5,92.1875,29.5,3.5,210.0629,199.8028,23.6667,120.339,17.75,1.5,229.3581,219.1707,25.4,92.029,21.1667,2.3333,183.8,440.4412
Joe Root,52656,England,Australia,Gaddafi Stadium,1,47.554,39.3452,86.7454,3.4286,37.8,82.8947,37.8,2.8,210.1041,27.25,71.7892,23.3571,1.7857,210.0629,199.8028,44.2222,89.3044,41.1724,3.5862,229.3581,219.1707,47.554,86.7454,39.3452,3.4286,183.8,440.4412
Harry Brook,84027,England,Australia,Gaddafi Stadium,1,37.5,34.0909,102.0408,4.5455,75.0,112.782,60.0,8.4,210.1041,80.0,121.2121,60.0,8.5,210.0629,199.8028,31.9333,109.3607,31.9333,4.3333,229.3581,219.1707,37.5,102.0408,34.0909,4.5455,183.8,440.4412
