Player Name,Team,Opponent,Venue,Toss Info,Innings
Matthew Short,AUS,ENG,"Gaddafi Stadium, Lahore",Australia won the toss and opt to bowl,1
Travis Head,AUS,ENG,"Gaddafi Stadium, Lahore",Australia won the toss and opt to bowl,1
Steven Smith (c),AUS,ENG,"Gaddafi Stadium, Lahore",Australia won the toss and opt to bowl,1
Marnus Labuschagne,AUS,ENG,"Gaddafi Stadium, Lahore",Australia won the toss and opt to bowl,1
Josh Inglis (wk),AUS,ENG,"Gaddafi Stadium, Lahore",Australia won the toss and opt to bowl,1
Alex Carey,AUS,ENG,"Gaddafi Stadium, Lahore",Australia won the toss and opt to bowl,1
Glenn Maxwell,AUS,ENG,"Gaddafi Stadium, Lahore",Australia won the toss and opt to bowl,1
Ben Dwarshuis,AUS,ENG,"Gaddafi Stadium, Lahore",Australia won the toss and opt to bowl,1
Nathan Ellis,AUS,ENG,"Gaddafi Stadium, Lahore",Australia won the toss and opt to bowl,1
Adam Zampa,AUS,ENG,"Gaddafi Stadium, Lahore",Australia won the toss and opt to bowl,1
Spencer Johnson,AUS,ENG,"Gaddafi Stadium, Lahore",Australia won the toss and opt to bowl,1
Philip Salt,ENG,AUS,"Gaddafi Stadium, Lahore",Australia won the toss and opt to bowl,2
Ben Duckett,ENG,AUS,"Gaddafi Stadium, Lahore",Australia won the toss and opt to bowl,2
Jamie Smith (wk),ENG,AUS,"Gaddafi Stadium, Lahore",Australia won the toss and opt to bowl,2
Joe Root,ENG,AUS,"Gaddafi Stadium, Lahore",Australia won the toss and opt to bowl,2
Harry Brook,ENG,AUS,"Gaddafi Stadium, Lahore",Australia won the toss and opt to bowl,2
Jos Buttler (c),ENG,AUS,"Gaddafi Stadium, Lahore",Australia won the toss and opt to bowl,2
Liam Livingstone,ENG,AUS,"Gaddafi Stadium, Lahore",Australia won the toss and opt to bowl,2
Brydon Carse,ENG,AUS,"Gaddafi Stadium, Lahore",Australia won the toss and opt to bowl,2
Jofra Archer,ENG,AUS,"Gaddafi Stadium, Lahore",Australia won the toss and opt to bowl,2
Adil Rashid,ENG,AUS,"Gaddafi Stadium, Lahore",Australia won the toss and opt to bowl,2
Mark Wood,ENG,AUS,"Gaddafi Stadium, Lahore",Australia won the toss and opt to bowl,2
