Match ID,innings,batting_team,striker,runs,balls,fours,sixes,strikeRate,isOut,wicketType,fielders,bowler
1375847,1,West Indies,A Athanaze,5.0,11.0,1.0,0.0,45.45,True,caught,,XC Bartlett
1375847,1,West Indies,G Motie,3.0,6.0,0.0,0.0,50.0,True,caught,,XC Bartlett
1375847,1,West Indies,HR Walsh,20.0,37.0,0.0,0.0,54.05,True,run out,,LR Morris
1375847,1,West Indies,JP Greaves,1.0,5.0,0.0,0.0,20.0,True,bowled,,XC Bartlett
1375847,1,West Indies,KAR Hodge,11.0,18.0,1.0,0.0,61.11,True,caught,,C Green
1375847,1,West Indies,KU Carty,88.0,109.0,6.0,2.0,80.73,False,not out,['-'],
1375847,1,West Indies,MW Forde,19.0,22.0,1.0,1.0,86.36,True,caught,,SA Abbott
1375847,1,West Indies,O Thomas,2.0,5.0,0.0,0.0,40.0,False,not out,['-'],
1375847,1,West Indies,R Shepherd,0.0,1.0,0.0,0.0,0.0,True,lbw,,C Green
1375847,1,West Indies,RL Chase,59.0,67.0,7.0,0.0,88.06,True,bowled,,A Zampa
1375847,1,West Indies,SD Hope,12.0,17.0,1.0,0.0,70.59,True,caught,,XC Bartlett
1375847,2,Australia,C Green,77.0,105.0,4.0,2.0,73.33,False,not out,['-'],
1375847,2,Australia,JP Inglis,65.0,44.0,10.0,1.0,147.73,True,caught,,G Motie
1375847,2,Australia,SPD Smith,79.0,82.0,8.0,0.0,96.34,False,not out,['-'],
1375847,2,Australia,TM Head,4.0,5.0,1.0,0.0,80.0,True,caught,,MW Forde
1375847,2,Australia,M Labuschagne,,,,,,False,DNB,,
1375847,2,Australia,MW Short,,,,,,False,DNB,,
1375847,2,Australia,AM Hardie,,,,,,False,DNB,,
1375847,2,Australia,SA Abbott,,,,,,False,DNB,,
1375847,2,Australia,XC Bartlett,,,,,,False,DNB,,
1375847,2,Australia,LR Morris,,,,,,False,DNB,,
1375847,2,Australia,A Zampa,,,,,,False,DNB,,
1375848,1,Australia,A Zampa,8.0,12.0,0.0,0.0,66.67,False,not out,['-'],
1375848,1,Australia,AM Hardie,26.0,36.0,3.0,0.0,72.22,True,caught,,G Motie
